,min,max
0,0.0,4.0
1,0.0,2.0
2,0.0,2.0
3,19.0,65.0
4,0.0,518000.0
5,0.0,108.0
6,0.0,1174970.0
7,-4677700.0,120000.0
8,0.0,153.0
9,-702610.0,38510.0
10,0.0,30.0
11,0.0,3409150.0
12,0.0,87.0
13,0.0,12.0
14,0.0,309920.9090909091
15,0.0,12.0
16,0.0,12.0
17,0.0,12.0
18,0.0,43166.66666666666
19,0.0,12.0
20,0.0,64.0
