y,rf
0,0.929081085
1,0.852225248
1,0.852225248
0,0.924090189
0,0.950841874
0,0.949138215
1,0.153122037
1,0.153122037
0,0.966733618
0,0.922992213
0,0.877350748
0,0.794852797
1,0.730530363
0,0.909900177
0,0.973148816
0,0.961027407
1,0.542183816
1,0.542183816
1,0.646597511
0,0.836793024
1,0.724973325
0,0.886777056
0,0.991690821
0,0.847947618
0,0.960480182
0,0.98154036
0,0.953682054
0,0.862464049
0,0.906636904
0,0.901263701
0,0.887513872
1,0.421108314
1,0.421108314
0,0.922340328
0,0.76547868
0,0.95711025
0,0.967466061
0,0.876120315
0,0.96881383
0,0.94033638
0,0.817695943
0,0.636745872
1,0.682379727
0,0.906871232
0,0.929296193
0,0.973678778
1,0.476869203
1,0.476869203
0,0.739783333
0,0.907065746
0,0.866669955
0,0.940306968
0,0.90053353
0,0.854441582
0,0.955514094
0,0.827654101
0,0.898847708
0,0.90631796
0,0.9320337
0,0.946637519
0,0.934555082
1,0.414218184
1,0.414218184
0,0.975135717
0,0.985438867
0,0.825277735
0,0.96881828
0,0.829347096
0,0.710530979
1,0.626160694
1,0.39556499
0,0.976768535
0,0.943728341
0,0.911260728
0,0.94587248
0,0.862000733
0,0.815808305
0,0.939710447
0,0.773414285
0,0.940597262
0,0.864020883
0,0.860466312
0,0.723034606
1,0.359557794
0,0.888434931
0,0.780832546
0,0.993213222
0,0.969714154
0,0.991746244
0,0.915851551
0,0.954907772
0,0.772280076
0,0.733923834
0,0.925541035
1,0.420619858
0,0.993148484
0,0.901900304
0,0.960480135
0,0.961208424
0,0.907446491
0,0.811095316
0,0.941484747
0,0.965291465
0,0.947606768
0,0.813852796
0,0.895392504
0,0.965119035
0,0.887690165
0,0.967476772
0,0.726462598
0,0.920092765
0,0.826113386
0,0.989383908
0,0.956478381
0,0.955478381
0,0.926682313
0,0.955073978
0,0.958318325
0,0.921810557
0,0.972520229
0,0.964723677
0,0.913940979
0,0.907572515
0,0.95232305
0,0.958227686
0,0.891472083
1,0.377341147
0,0.773518524
0,0.848490175
0,0.905550667
0,0.833845668
0,0.844582399
0,0.908
0,0.837094484
0,0.867212886
0,0.92910364
0,0.852035878
0,0.923965922
1,0.518040374
0,0.991781303
0,0.851493599
0,0.95099582
0,0.88105197
