isBad_30,CityId,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,threeVerify,transTotalAmt,transTotalCnt,transCnt_mean,transCnt_non_null_months,transAmt_mean,transAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashAmt_mean,cashAmt_non_null_months,isDue,isCrime,isBlackList,Han,age,sex,card_age
0,其它,,,小学,一致,0,已婚,90.0,24 个月以上,0.9,150.0,15.0,0.0,0.0,不一致,150.0,15.0,5.666666666666668,3.0,46.66666666666666,3.0,,,,,0.0,0.0,0.0,1.0,38.0,女,4.0
0,其它,,,小学,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,39.0,男,0.0
0,其它,,,初中,一致,0,未婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,38.0,男,0.0
0,其它,,,小学,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,35.0,男,32.0
0,其它,,,初中,一致,0,未婚,310.0,12-24个月,0.98,0.0,0.0,0.0,0.0,不一致,310.0,1.0,1.0,1.0,310.0,1.0,,,,,0.0,0.0,0.0,0.0,31.0,男,7.0
0,其它,,,小学,一致,0,已婚,,24 个月以上,0.98,0.0,0.0,0.0,1.0,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,46.0,男,-3.0
0,其它,,,小学,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,30.0,男,1.0
0,其它,1000.0,1.0,初中,一致,0,已婚,21000.0,24 个月以上,0.88,84000.0,12.0,0.0,0.0,一致,84000.0,12.0,2.4,5.0,16800.0,5.0,1.0,1.0,1000.0,1.0,0.0,0.0,0.0,1.0,34.0,男,-2.0
1,其它,,,Missing,一致,1,未说明,1260.0,12-24个月,0.88,2380.0,4.0,0.0,0.0,不一致,2470.0,7.0,2.333333333333333,3.0,820.0,3.0,,,,,0.0,0.0,0.0,1.0,39.0,女,34.0
1,其它,,,Missing,一致,1,未说明,1260.0,12-24个月,0.88,2380.0,4.0,0.0,0.0,不一致,2470.0,7.0,2.333333333333333,3.0,820.0,3.0,,,,,0.0,0.0,0.0,1.0,39.0,女,34.0
0,其它,,,高中,一致,0,已婚,1000.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,1000.0,1.0,1.0,1.0,1000.0,1.0,,,,,0.0,0.0,0.0,1.0,54.0,男,-1.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,41.0,男,-3.0
0,其它,12000.0,5.0,初中,一致,0,已婚,4790.0,24 个月以上,0.77,0.0,0.0,0.0,0.0,一致,14550.0,15.0,3.4,5.0,2910.0,5.0,2.5,2.0,6000.0,2.0,0.0,0.0,0.0,1.0,41.0,男,0.0
0,其它,,,初中,一致,0,已婚,4500.0,24 个月以上,0.85,0.0,0.0,0.0,0.0,一致,15470.0,10.0,1.6666666666666667,6.0,2578.333333333333,6.0,,,,,0.0,0.0,0.0,1.0,35.0,男,1.0
0,二线城市,,,小学,一致,0,未说明,10.0,12个月以内,0.98,0.0,0.0,0.0,0.0,不一致,10.0,1.0,1.0,1.0,10.0,1.0,,,,,0.0,0.0,0.0,1.0,34.0,男,-3.0
0,其它,,,初中,一致,0,已婚,0.0,12-24个月,0.96,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,41.0,男,-3.0
0,其它,24200.0,14.0,小学,一致,0,已婚,0.0,24 个月以上,0.88,0.0,1.0,0.0,1.0,一致,0.0,0.0,0.0,3.0,0.0,3.0,4.666666666666667,3.0,8066.666666666668,3.0,0.0,0.0,0.0,0.0,46.0,女,3.0
0,二线城市,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,36.0,男,32.0
0,其它,,,初中,一致,0,未婚,0.0,,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,32.0,男,-12.0
0,新一线城市,2900.0,2.0,Missing,一致,0,未说明,10480.0,24 个月以上,0.88,12920.0,6.0,0.0,0.0,不一致,12920.0,6.0,1.5,4.0,3227.5,4.0,1.0,2.0,1450.0,2.0,0.0,0.0,0.0,1.0,31.0,男,-4.0
0,新一线城市,6700.0,11.0,初中,一致,1,已婚,0.0,24 个月以上,0.9,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,4.0,0.0,4.0,2.75,4.0,1675.0,4.0,0.0,0.0,0.0,1.0,44.0,男,-1.0
1,其它,300.0,1.0,高中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,300.0,1.0,0.0,0.0,0.0,1.0,34.0,男,12.0
0,二线城市,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,43.0,男,1.0
0,其它,,,初中,一致,0,已婚,20.0,24 个月以上,0.67,0.0,0.0,0.0,0.0,一致,20.0,2.0,0.16666666666666666,12.0,1.6666666666666667,12.0,,,,,0.0,0.0,0.0,1.0,43.0,男,4.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,43.0,男,0.0
0,其它,,,初中,一致,0,已婚,1100.0,24 个月以上,0.92,0.0,0.0,0.0,0.0,一致,1700.0,10.0,2.5,4.0,425.0,4.0,,,,,0.0,0.0,0.0,1.0,39.0,男,-2.0
1,二线城市,,,初中,一致,0,未婚,,,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,29.0,男,4.0
1,二线城市,,,初中,一致,0,未婚,,,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,29.0,男,4.0
0,一线城市,,,小学,一致,0,未说明,16330.0,24 个月以上,0.9,6180.0,5.0,0.0,1.0,一致,17090.0,6.0,1.5,4.0,4270.0,4.0,,,,,0.0,0.0,0.0,1.0,26.0,男,1.0
0,新一线城市,9100.0,18.0,初中,一致,1,已婚,3240.0,24 个月以上,0.52,80.0,1.0,0.0,0.0,一致,8640.0,18.0,2.0,9.0,956.6666666666665,9.0,2.571428571428572,7.0,1300.0,7.0,0.0,0.0,0.0,1.0,34.0,男,7.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.85,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,6.0,0.0,6.0,,,,,0.0,0.0,0.0,0.0,41.0,男,-3.0
0,其它,,,初中,一致,0,未说明,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,32.0,男,1.0
0,其它,2800.0,1.0,初中,一致,0,已婚,21370.0,24 个月以上,0.92,42000.0,6.0,0.0,0.0,无记录,42370.0,7.0,3.5,2.0,21185.0,2.0,1.0,1.0,2800.0,1.0,0.0,1.0,0.0,1.0,39.0,男,35.0
0,其它,,,初中,一致,0,离婚,200.0,24 个月以上,0.96,340.0,2.0,0.0,0.0,一致,340.0,2.0,1.0,2.0,170.0,2.0,,,,,0.0,0.0,0.0,1.0,38.0,男,0.0
0,其它,200.0,2.0,小学,一致,0,已婚,21000.0,24 个月以上,0.77,103840.0,27.0,0.0,1.0,一致,103840.0,18.0,2.2222222222222223,9.0,11537.777777777776,9.0,1.0,2.0,100.0,2.0,0.0,0.0,0.0,1.0,42.0,男,49.0
0,其它,44100.0,22.0,初中,一致,0,未婚,24090.0,24 个月以上,0.58,11270.0,21.0,4500.0,2.0,一致,78300.0,51.0,5.222222222222221,9.0,8697.777777777777,9.0,3.6666666666666665,6.0,7350.0,6.0,0.0,1.0,0.0,1.0,24.0,男,2.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,34.0,女,14.0
0,二线城市,,,高中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,0.0,42.0,男,37.0
0,其它,,,初中,一致,0,已婚,20000.0,24 个月以上,0.96,30000.0,3.0,0.0,0.0,一致,30000.0,3.0,1.5,2.0,15000.0,2.0,,,,,0.0,0.0,0.0,1.0,40.0,男,-3.0
0,其它,10500.0,6.0,初中,一致,0,已婚,490.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,不一致,760.0,2.0,1.0,2.0,380.0,2.0,3.0,2.0,5250.0,2.0,0.0,0.0,0.0,1.0,53.0,女,1.0
0,其它,,,小学,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,44.0,男,18.0
0,其它,,,高中,一致,0,已婚,,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,46.0,男,47.0
0,二线城市,33300.0,16.0,初中,一致,0,已婚,10000.0,24 个月以上,0.83,0.0,0.0,0.0,0.0,一致,14460.0,6.0,1.2,5.0,2892.0,5.0,3.2,5.0,6660.0,5.0,0.0,0.0,0.0,1.0,40.0,男,51.0
0,其它,,,小学,一致,0,未婚,30000.0,12-24个月,0.96,30000.0,3.0,0.0,0.0,无记录,30000.0,3.0,1.5,2.0,15000.0,2.0,,,,,0.0,0.0,0.0,1.0,24.0,男,-3.0
0,其它,,,初中,一致,0,未婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,27.0,男,-1.0
1,其它,12000.0,4.0,初中,一致,0,未婚,0.0,,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,12000.0,1.0,0.0,0.0,0.0,1.0,31.0,男,-7.0
1,其它,12000.0,4.0,初中,一致,0,未婚,0.0,,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,12000.0,1.0,0.0,0.0,0.0,1.0,31.0,男,-7.0
1,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,34.0,男,1.0
0,其它,1400.0,1.0,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1400.0,1.0,0.0,0.0,0.0,1.0,30.0,男,4.0
0,其它,,,Missing,一致,0,未说明,240.0,,0.98,240.0,1.0,0.0,0.0,一致,240.0,1.0,1.0,1.0,240.0,1.0,,,,,0.0,0.0,0.0,1.0,30.0,男,-3.0
0,其它,,,初中,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,25.0,男,0.0
0,其它,,,高中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,30.0,男,2.0
0,其它,,,初中,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,30.0,男,4.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,38.0,男,-1.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,31.0,男,23.0
0,其它,,,Missing,一致,0,未说明,2000.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,2000.0,2.0,1.0,2.0,1000.0,2.0,,,,,0.0,0.0,0.0,1.0,26.0,男,1.0
1,二线城市,200.0,1.0,初中,一致,0,未说明,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,200.0,1.0,0.0,0.0,0.0,1.0,39.0,男,-4.0
1,其它,17900.0,10.0,高中,一致,0,已婚,0.0,24 个月以上,0.92,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,2.0,0.0,2.0,10.0,1.0,17900.0,1.0,0.0,0.0,1.0,1.0,36.0,男,0.0
0,其它,3500.0,2.0,初中,一致,0,未婚,30000.0,,0.75,120000.0,12.0,0.0,0.0,一致,120000.0,12.0,1.7142857142857142,7.0,17142.85714285714,7.0,2.0,1.0,3500.0,1.0,0.0,0.0,0.0,1.0,33.0,男,2.0
0,二线城市,,,Missing,一致,0,未说明,0.0,24 个月以上,0.98,0.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,30.0,女,0.0
0,其它,,,初中,一致,0,已婚,4450.0,24 个月以上,0.94,4450.0,2.0,0.0,0.0,一致,4450.0,2.0,1.0,2.0,2225.0,2.0,,,,,0.0,0.0,0.0,1.0,42.0,女,14.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,33.0,男,-2.0
0,其它,,,初中,一致,0,已婚,1210.0,12-24个月,0.96,0.0,0.0,0.0,0.0,不一致,1210.0,1.0,0.5,2.0,605.0,2.0,,,,,0.0,0.0,0.0,1.0,36.0,女,0.0
1,其它,,,初中,一致,0,已婚,,24 个月以上,0.98,0.0,6.0,0.0,0.0,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,28.0,男,22.0
1,其它,,,初中,一致,0,已婚,,24 个月以上,0.98,0.0,6.0,0.0,0.0,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,28.0,男,22.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,34.0,男,1.0
0,其它,,,初中,一致,0,已婚,0.0,,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,44.0,男,-11.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,49.0,男,-12.0
0,其它,1500.0,1.0,高中,一致,0,未说明,21000.0,24 个月以上,0.94,21000.0,3.0,0.0,0.0,一致,41500.0,4.0,1.3333333333333333,3.0,13833.333333333336,3.0,1.0,1.0,1500.0,1.0,0.0,0.0,0.0,1.0,25.0,男,-1.0
0,其它,100.0,1.0,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,32.0,男,-3.0
0,二线城市,4500.0,1.0,初中,一致,0,未婚,0.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,一致,0.0,1.0,0.5,2.0,0.0,2.0,1.0,1.0,4500.0,1.0,0.0,0.0,0.0,1.0,35.0,男,0.0
0,其它,,,小学,一致,1,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,1.0,0.0,1.0,50.0,男,1.0
1,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,29.0,男,2.0
1,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,29.0,男,2.0
0,其它,4900.0,3.0,初中,一致,0,已婚,0.0,,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4900.0,1.0,0.0,0.0,0.0,1.0,33.0,男,18.0
1,其它,,,专科,一致,0,已婚,1000.0,24 个月以上,0.9,-3990.0,4.0,0.0,0.0,不一致,1070.0,2.0,0.4,5.0,212.0,5.0,,,,,0.0,0.0,0.0,1.0,43.0,女,11.0
1,其它,,,专科,一致,0,已婚,1000.0,24 个月以上,0.9,-3990.0,4.0,0.0,0.0,不一致,1070.0,2.0,0.4,5.0,212.0,5.0,,,,,0.0,0.0,0.0,1.0,43.0,女,11.0
0,其它,2900.0,7.0,高中,一致,0,离婚,70.0,24 个月以上,0.92,0.0,0.0,0.0,3.0,一致,70.0,4.0,2.0,2.0,35.0,2.0,7.0,1.0,2900.0,1.0,0.0,0.0,0.0,1.0,37.0,男,-4.0
0,二线城市,6500.0,2.0,小学,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,6500.0,1.0,0.0,0.0,0.0,1.0,44.0,男,-3.0
0,其它,,,初中,一致,0,已婚,21000.0,24 个月以上,0.98,21000.0,3.0,0.0,0.0,无记录,21000.0,3.0,3.0,1.0,21000.0,1.0,,,,,0.0,0.0,0.0,1.0,35.0,男,-2.0
0,其它,,,高中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,30.0,男,19.0
0,二线城市,,,初中,一致,0,已婚,21000.0,24 个月以上,0.96,42000.0,2.0,0.0,0.0,一致,42000.0,2.0,1.0,2.0,21000.0,2.0,,,,,0.0,0.0,0.0,1.0,56.0,男,0.0
0,其它,200.0,1.0,本科以上,一致,0,已婚,989470.0,24 个月以上,0.79,0.0,0.0,0.0,0.0,不一致,1050550.0,12.0,2.333333333333333,6.0,175091.66666666663,6.0,1.0,1.0,200.0,1.0,0.0,0.0,0.0,1.0,26.0,男,0.0
0,其它,,,初中,一致,0,离婚,3200.0,24 个月以上,0.88,0.0,1.0,0.0,0.0,一致,5690.0,6.0,1.2,5.0,1138.0,5.0,,,,,0.0,0.0,0.0,1.0,40.0,男,25.0
0,其它,,,小学,一致,0,已婚,,24 个月以上,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,38.0,男,2.0
0,其它,,,小学,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,48.0,男,29.0
0,其它,,,Missing,,0,未说明,800.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,800.0,1.0,1.0,1.0,800.0,1.0,,,,,0.0,0.0,0.0,0.0,33.0,男,36.0
0,二线城市,,,高中,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,52.0,男,-5.0
0,其它,1000.0,1.0,高中,一致,0,未婚,21000.0,24 个月以上,0.94,58000.0,8.0,0.0,0.0,一致,58000.0,8.0,2.6666666666666665,3.0,19333.33333333333,3.0,1.0,1.0,1000.0,1.0,0.0,1.0,0.0,1.0,37.0,男,-2.0
0,其它,87000.0,20.0,初中,一致,0,已婚,1600.0,24 个月以上,0.88,0.0,0.0,0.0,0.0,一致,1600.0,1.0,0.3333333333333333,3.0,533.3333333333334,3.0,6.666666666666668,3.0,29000.0,3.0,0.0,0.0,1.0,1.0,39.0,男,33.0
0,其它,,,小学,一致,0,未婚,100.0,,0.96,0.0,0.0,100.0,1.0,无记录,100.0,1.0,0.5,2.0,50.0,2.0,,,,,0.0,0.0,0.0,0.0,20.0,女,-5.0
0,一线城市,,,Missing,一致,0,未说明,0.0,24 个月以上,0.98,-19920.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,27.0,男,10.0
0,其它,,,小学,一致,0,未婚,0.0,,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,42.0,男,-12.0
0,其它,3300.0,2.0,小学,一致,0,未说明,3400.0,24 个月以上,0.92,0.0,0.0,0.0,0.0,一致,3400.0,1.0,0.25,4.0,850.0,4.0,1.0,2.0,1650.0,2.0,0.0,0.0,0.0,1.0,34.0,男,58.0
0,其它,,,初中,一致,0,未婚,10000.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,10000.0,1.0,1.0,1.0,10000.0,1.0,,,,,0.0,0.0,0.0,1.0,23.0,男,0.0
1,其它,,,Missing,不一致,0,未说明,,,,,,,,无记录,,,,,,,,,,,0.0,0.0,0.0,0.0,32.0,男,0.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,39.0,男,0.0
0,其它,7800.0,3.0,Missing,一致,0,已婚,1174970.0,24 个月以上,0.6,25070.0,8.0,70.0,5.0,一致,3409150.0,30.0,2.727272727272727,11.0,309920.9090909091,11.0,1.0,3.0,2600.0,3.0,0.0,0.0,0.0,1.0,27.0,男,31.0
0,其它,,,专科,一致,0,离婚,10720.0,12-24个月,0.98,10720.0,2.0,0.0,0.0,一致,10720.0,2.0,2.0,1.0,10720.0,1.0,,,,,0.0,0.0,0.0,1.0,45.0,男,-7.0
0,其它,,,初中,一致,0,已婚,,,,,,,,无记录,,,,,,,,,,,0.0,0.0,0.0,1.0,49.0,男,5.0
0,其它,32000.0,11.0,初中,一致,0,已婚,0.0,24 个月以上,0.92,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,2.0,0.0,2.0,5.5,2.0,16000.0,2.0,0.0,0.0,0.0,1.0,43.0,男,-1.0
0,其它,4400.0,4.0,Missing,一致,0,未婚,0.0,12-24个月,0.92,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,3.0,0.0,3.0,1.3333333333333333,3.0,1466.666666666667,3.0,0.0,0.0,0.0,1.0,24.0,女,-5.0
0,其它,,,初中,一致,0,已婚,80.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,不一致,130.0,2.0,0.6666666666666666,3.0,43.33333333333334,3.0,,,,,0.0,0.0,0.0,1.0,31.0,男,-6.0
0,其它,,,小学,一致,0,已婚,21000.0,24 个月以上,0.96,20990.0,4.0,0.0,0.0,不一致,21000.0,3.0,1.5,2.0,10500.0,2.0,,,,,0.0,0.0,0.0,1.0,31.0,男,-5.0
0,其它,23700.0,15.0,专科,一致,0,未婚,1000.0,24 个月以上,0.71,0.0,0.0,0.0,0.0,一致,2000.0,2.0,0.25,8.0,250.0,8.0,2.5,6.0,3950.0,6.0,0.0,0.0,0.0,1.0,34.0,男,9.0
0,其它,,,小学,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,42.0,女,-4.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,29.0,男,43.0
0,二线城市,14900.0,12.0,初中,一致,0,已婚,10170.0,24 个月以上,0.83,30.0,1.0,0.0,0.0,一致,10360.0,7.0,1.75,4.0,2587.5,4.0,4.0,3.0,4966.666666666667,3.0,0.0,1.0,0.0,1.0,41.0,男,20.0
0,其它,,,专科,一致,0,已婚,16500.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,无记录,16500.0,2.0,2.0,1.0,16500.0,1.0,,,,,0.0,0.0,0.0,0.0,35.0,男,-7.0
0,其它,,,初中,一致,0,已婚,750.0,,0.83,-3840.0,9.0,0.0,0.0,一致,750.0,1.0,0.16666666666666666,6.0,125.0,6.0,,,,,1.0,0.0,0.0,1.0,30.0,男,0.0
0,其它,,,初中,一致,0,已婚,4000.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,4000.0,1.0,1.0,1.0,4000.0,1.0,,,,,0.0,0.0,0.0,1.0,43.0,男,13.0
1,其它,,,高中,一致,0,离婚,,,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,40.0,男,1.0
1,其它,,,高中,一致,0,离婚,,,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,40.0,男,1.0
0,其它,3000.0,1.0,小学,一致,1,未婚,0.0,12-24个月,0.62,-36490.0,24.0,-9760.0,6.0,一致,0.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,3000.0,1.0,0.0,0.0,0.0,1.0,34.0,男,0.0
0,其它,,,小学,一致,0,已婚,14000.0,24 个月以上,0.87,-390.0,1.0,0.0,0.0,一致,24130.0,5.0,0.8333333333333334,6.0,4021.666666666666,6.0,,,,,0.0,0.0,0.0,1.0,30.0,男,12.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,49.0,男,-10.0
0,其它,3000.0,2.0,小学,一致,0,已婚,3000.0,24 个月以上,0.9,0.0,0.0,0.0,0.0,一致,6070.0,9.0,2.2,5.0,1214.0,5.0,2.0,1.0,3000.0,1.0,0.0,0.0,0.0,0.0,29.0,男,1.0
0,其它,,,初中,一致,0,已婚,35500.0,24 个月以上,0.94,35500.0,2.0,0.0,0.0,一致,35550.0,3.0,1.5,2.0,17775.0,2.0,,,,,0.0,0.0,0.0,1.0,34.0,女,0.0
0,其它,,,小学,一致,0,未婚,150000.0,24 个月以上,0.83,0.0,0.0,0.0,0.0,不一致,328090.0,8.0,1.1428571428571428,7.0,46870.0,7.0,,,,,0.0,0.0,0.0,1.0,22.0,女,0.0
1,其它,1000.0,4.0,初中,一致,0,未婚,60.0,12-24个月,0.94,0.0,0.0,0.0,0.0,不一致,60.0,1.0,0.5,2.0,30.0,2.0,2.0,2.0,500.0,2.0,0.0,0.0,0.0,1.0,37.0,男,-6.0
0,其它,5600.0,4.0,小学,一致,0,未婚,360.0,24 个月以上,0.21,-549860.0,120.0,0.0,0.0,一致,450.0,4.0,0.3333333333333333,12.0,37.5,12.0,1.3333333333333333,3.0,1866.666666666667,3.0,0.0,0.0,0.0,1.0,23.0,男,1.0
0,其它,,,初中,一致,0,已婚,57500.0,24 个月以上,0.85,0.0,0.0,0.0,0.0,一致,120700.0,8.0,1.1428571428571428,7.0,17242.85714285714,7.0,,,,,0.0,0.0,0.0,1.0,44.0,男,4.0
0,其它,,,小学,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,不一致,0.0,1.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,31.0,男,3.0
0,其它,3000.0,1.0,初中,一致,0,未婚,5200.0,24 个月以上,0.9,-8270.0,2.0,0.0,0.0,一致,7540.0,5.0,1.6666666666666667,3.0,2513.333333333333,3.0,1.0,1.0,3000.0,1.0,0.0,0.0,0.0,1.0,32.0,男,0.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,43.0,男,-1.0
0,一线城市,,,专科,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,28.0,女,19.0
0,其它,,,小学,一致,0,离婚,25000.0,24 个月以上,0.94,75000.0,9.0,0.0,0.0,一致,75000.0,9.0,3.0,3.0,25000.0,3.0,,,,,0.0,0.0,0.0,1.0,32.0,女,2.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,31.0,男,34.0
