isBad_30,CityId,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,threeVerify,transTotalAmt,transTotalCnt,transCnt_mean,transCnt_non_null_months,transAmt_mean,transAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashAmt_mean,cashAmt_non_null_months,isDue,isCrime,isBlackList,Han,age,sex,card_age
0,其它,4000.0,2.0,初中,一致,0,未婚,0.0,24 个月以上,0.9,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,4.0,0.0,4.0,1.0,2.0,2000.0,2.0,0.0,0.0,0.0,1.0,31.0,女,-1.0
0,其它,,,初中,一致,0,已婚,110.0,12-24个月,0.98,0.0,0.0,0.0,0.0,一致,110.0,1.0,1.0,1.0,110.0,1.0,,,,,0.0,0.0,0.0,1.0,32.0,男,-9.0
0,其它,,,初中,一致,0,已婚,29990.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,29990.0,1.0,1.0,1.0,29990.0,1.0,,,,,0.0,0.0,0.0,1.0,53.0,女,-1.0
1,二线城市,,,初中,一致,0,已婚,0.0,12-24个月,0.98,0.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,48.0,男,-10.0
1,二线城市,,,初中,一致,0,已婚,0.0,12-24个月,0.98,0.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,48.0,男,-10.0
0,其它,21900.0,14.0,Missing,不一致,0,未说明,1820.0,24 个月以上,0.73,0.0,0.0,0.0,0.0,一致,2920.0,4.0,0.5714285714285714,7.0,417.1428571428572,7.0,2.333333333333333,6.0,3650.0,6.0,0.0,0.0,0.0,0.0,42.0,男,56.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,23.0,男,30.0
0,其它,,,Missing,一致,0,已婚,1700.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,一致,2700.0,3.0,1.5,2.0,1350.0,2.0,,,,,0.0,0.0,0.0,1.0,30.0,男,2.0
0,其它,,,初中,一致,0,已婚,850.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,850.0,1.0,1.0,1.0,850.0,1.0,,,,,0.0,0.0,0.0,1.0,33.0,男,-2.0
0,其它,8000.0,3.0,初中,一致,0,未说明,50.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,不一致,50.0,1.0,0.5,2.0,25.0,2.0,3.0,1.0,8000.0,1.0,0.0,0.0,0.0,1.0,40.0,男,-6.0
0,其它,,,高中,一致,0,已婚,20000.0,24 个月以上,0.98,20000.0,3.0,0.0,0.0,不一致,20000.0,3.0,3.0,1.0,20000.0,1.0,,,,,0.0,0.0,0.0,1.0,28.0,男,-5.0
0,新一线城市,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,24.0,女,30.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,无记录,,,,,,,,,,,0.0,0.0,0.0,1.0,38.0,男,0.0
0,二线城市,,,高中,一致,0,已婚,2060.0,12-24个月,0.98,2060.0,1.0,0.0,0.0,一致,2060.0,1.0,1.0,1.0,2060.0,1.0,,,,,0.0,0.0,0.0,1.0,51.0,女,11.0
1,其它,14000.0,7.0,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,14000.0,1.0,0.0,0.0,0.0,1.0,39.0,男,-3.0
0,其它,100.0,1.0,小学,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,43.0,男,0.0
0,其它,1300.0,3.0,初中,一致,0,已婚,3000.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,一致,3200.0,2.0,0.6666666666666666,3.0,1066.6666666666667,3.0,3.0,1.0,1300.0,1.0,0.0,0.0,0.0,1.0,37.0,男,-8.0
0,其它,2000.0,1.0,初中,一致,0,已婚,2790.0,24 个月以上,0.85,970.0,3.0,970.0,3.0,一致,4780.0,7.0,1.4,5.0,950.0,5.0,1.0,1.0,2000.0,1.0,0.0,0.0,0.0,1.0,33.0,女,0.0
1,其它,,,初中,一致,0,已婚,3680.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,3680.0,3.0,3.0,1.0,3680.0,1.0,,,,,0.0,0.0,0.0,1.0,51.0,男,0.0
1,其它,,,初中,一致,0,已婚,3680.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,3680.0,3.0,3.0,1.0,3680.0,1.0,,,,,0.0,0.0,0.0,1.0,51.0,男,0.0
0,其它,,,初中,一致,0,离婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,47.0,男,-12.0
0,其它,2500.0,2.0,Missing,一致,0,未婚,240.0,24 个月以上,0.96,0.0,0.0,240.0,1.0,一致,240.0,1.0,0.5,2.0,120.0,2.0,1.0,2.0,1250.0,2.0,0.0,0.0,1.0,1.0,30.0,男,-8.0
0,其它,,,本科以上,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,32.0,男,-4.0
0,其它,500.0,1.0,初中,一致,0,已婚,2820.0,24 个月以上,0.9,5630.0,2.0,5630.0,2.0,不一致,7130.0,3.0,0.6,5.0,1426.0,5.0,1.0,1.0,500.0,1.0,0.0,0.0,0.0,1.0,37.0,男,-1.0
0,其它,,,高中,一致,0,未婚,25000.0,24 个月以上,0.96,50000.0,6.0,0.0,0.0,一致,50000.0,6.0,3.0,2.0,25000.0,2.0,,,,,0.0,0.0,0.0,1.0,27.0,男,-5.0
0,其它,,,小学,一致,0,已婚,,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,33.0,男,0.0
0,其它,24900.0,6.0,高中,一致,0,离婚,0.0,,0.88,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,12450.0,2.0,0.0,0.0,0.0,1.0,42.0,男,5.0
0,其它,6000.0,2.0,初中,一致,0,未婚,0.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,不一致,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3000.0,2.0,0.0,0.0,0.0,1.0,27.0,男,1.0
0,其它,3400.0,12.0,初中,一致,0,未说明,170.0,12-24个月,0.83,0.0,0.0,0.0,0.0,一致,250.0,3.0,1.0,3.0,83.33333333333333,3.0,4.0,3.0,1133.3333333333333,3.0,0.0,0.0,0.0,1.0,42.0,男,16.0
0,其它,,,小学,一致,0,已婚,100.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,100.0,1.0,1.0,1.0,100.0,1.0,,,,,0.0,0.0,0.0,1.0,52.0,男,-1.0
0,其它,,,初中,一致,0,已婚,5290.0,,0.98,5290.0,1.0,5290.0,1.0,一致,5290.0,1.0,1.0,1.0,5290.0,1.0,,,,,0.0,0.0,0.0,1.0,26.0,男,-5.0
0,其它,15000.0,3.0,小学,一致,0,未婚,0.0,24 个月以上,0.88,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,5.0,0.0,5.0,1.5,2.0,7500.0,2.0,0.0,0.0,0.0,0.0,23.0,男,1.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,42.0,女,-12.0
